id;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16;w17;w18;w19;w20;w21;w22;w23;w24;w25;w26;w27;w28;w29;w30;państwo_oś;macierz_gospodarcze;macierz_społeczne;wykszt_ojca;wykszt_matki;rok_studiów;kierunek_studiów;praca;miejsc_pochodzenia;rok_urodzenia;płeć
g46;2;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;1;1;2;1;1;2;1;1;1;1;2;1;2;1;2;2;1;2;1;2;2;1;1;2;2;1;2;1;1;2;1;2;1;1;2;2;2;8;3;4;;3;2;energetyka;3;4;92;1
g47;2;3;2;2;1;1;2;2;3;1;2;1;3;1;3;1;3;1;3;1;3;3;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;2;1;1;2;2;1;2;1;1;1;2;2;1;2;2;;;;3;5;2;energetyka;1;2;94;1
g48;2;1;2;2;1;2;2;2;2;1;2;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;1;2;1;1;2;1;1;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;
g49;2;2;1;2;3;1;3;1;2;2;2;1;1;1;2;3;1;1;3;1;3;3;1;1;2;1;1;1;1;2;2;1;2;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;2;2;2;1;1;;;;;;2;energetyka;;;;
g50;1;1;3;2;1;2;2;1;1;2;1;2;3;1;2;1;1;2;1;1;1;2;2;1;1;2;1;2;1;2;2;2;1;2;1;;1;;;;;;;;;;;;;;;;;;3;3;5;4;2;energetyka;2;4;93;2
g51;2;2;1;2;1;2;1;1;2;2;1;1;2;1;2;1;1;1;1;1;1;2;2;1;1;2;1;1;2;2;2;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;1;2;1;1;2;0;4;1;5;5;2;energetyka;3;1;93;1
g52;2;2;2;2;1;3;3;1;3;3;3;1;3;1;2;1;1;3;1;1;1;3;3;1;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;energetyka;2;2;94;2
g53;2;1;2;2;1;2;;1;3;2;2;2;3;1;;1;1;3;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;energetyka;;;;
g54;2;1;2;1;2;1;2;2;1;1;2;1;3;1;1;1;1;1;1;2;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;energetyka;;;;
g55;1;1;2;2;1;2;1;1;1;2;1;3;3;;2;1;1;3;1;1;1;2;3;1;1;;1;1;;2;2;2;1;2;1;1;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1;2;2;;;;;;2;energetyka;;;;
