id;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16;w17;w18;w19;w20;w21;w22;w23;w24;w25;w26;w27;w28;w29;w30;państwo_oś;macierz_gospodarcze;macierz_społeczne;wykszt_ojca;wykszt_matki;rok_studiów;kierunek_studiów;praca;miejsc_pochodzenia;rok_urodzenia;płeć
59;2;1;2;2;2;1;1;2;2;2;3;1;1;1;1;2;2;2;2;1;1;1;3;2;2;1;1;1;2;1;1;1;2;2;2;1;1;2;1;2;1;2;2;1;1;2;1;1;1;1;2;1;2;3;3;4;5;5;1;KSIĘG.;2;3;1995;2
60;2;1;1;1;2;1;2;2;1;1;2;2;1;3;1;2;2;2;2;2;2;1;1;1;1;1;2;1;2;2;2;1;2;1;1;1;2;2;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;3;3;3;5;4;2;G. NAR;3;5;1993;2
61;1;2;2;2;1;1;2;1;2;2;1;2;1;2;1;2;2;1;2;1;1;1;1;1;2;1;2;1;2;2;2;1;2;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;4;3;3;5;5;2;G. NAR;2;5;1993;1
62;1;2;1;2;2;2;1;3;1;2;1;2;1;1;1;2;2;2;3;3;3;2;1;2;2;1;2;1;1;2;2;1;2;1;1;1;2;1;2;1;1;1;2;1;1;2;2;2;1;2;1;1;2;7;2;1;3;3;2;G. NAR;2;4;1993;2
63;2;1;1;2;1;3;3;1;2;1;2;1;3;2;1;3;2;2;2;1;3;1;2;1;1;2;1;1;2;2;1;1;2;1;2;1;2;1;1;1;1;1;2;2;1;2;1;1;1;1;1;2;1;8;3;4;5;5;1;FIN;3;1;1994;1
64;2;2;2;1;1;3;3;2;3;3;1;1;3;2;2;2;2;3;1;1;1;1;2;1;2;1;2;2;1;1;2;1;1;1;1;2;;2;1;2;1;1;1;1;1;2;1;1;1;;2;1;2;4;;;4;4;3;EKO;;;;
65;2;1;1;2;2;1;2;1;2;1;2;2;1;2;1;2;2;1;2;2;2;3;1;2;1;1;2;1;1;2;2;1;1;1;1;1;2;2;2;2;1;1;1;1;1;2;1;1;1;2;1;1;2;2;3;3;4;4;2;EKO;2;1;1993;2
66;2;2;1;1;2;1;2;2;3;3;1;3;1;2;1;2;2;1;2;2;2;1;2;1;2;1;2;1;2;2;2;1;2;1;1;1;2;2;2;2;1;1;1;1;1;2;1;2;1;2;1;1;2;2;4;4;5;4;2;EKO;;5;1993;2
67;1;2;1;1;2;1;1;1;1;2;2;2;2;2;1;2;2;2;2;1;2;1;2;1;2;1;2;1;2;2;2;1;1;1;1;1;2;2;1;2;1;1;1;1;1;2;1;2;1;1;1;1;2;2;4;3;5;4;2;G. NAR;2;4;1994;1
68;1;2;2;1;3;1;3;1;1;2;2;3;1;2;3;1;3;2;2;2;2;3;3;2;1;1;1;2;1;2;1;2;2;2;1;1;2;2;1;1;1;2;1;2;2;1;1;1;1;2;1;2;1;;3;4;3;5;3;KSIĘG.;;;1991;2
69;2;2;2;1;1;1;2;2;1;2;1;1;2;2;1;1;1;1;1;1;2;2;1;1;2;1;1;2;2;1;1;1;1;1;1;2;2;2;1;2;1;1;1;1;1;2;1;2;1;2;1;1;2;2;3;3;4;5;3;G. NAR;3;5;1993;1
70;2;2;1;1;2;1;2;1;2;2;1;2;1;2;2;2;2;1;2;1;2;1;1;1;2;1;1;2;1;2;2;1;2;1;1;1;2;2;1;2;1;1;1;1;1;2;1;1;1;2;2;1;2;;3;2;2;2;2;G. NAR;3;5;1993;1
71;3;2;2;1;2;1;2;2;2;1;2;1;1;2;2;2;2;1;2;2;2;1;1;1;2;1;1;1;1;2;2;1;1;1;2;1;1;2;1;2;1;1;2;1;1;2;1;2;1;1;1;1;2;2;4;3;3;4;2;G. NAR;3;2;1993;1
72;2;3;1;1;1;1;2;1;2;1;1;2;2;2;3;3;2;1;2;2;3;3;3;2;1;1;1;2;2;1;2;1;1;1;1;2;;1;1;1;1;2;2;1;1;2;1;1;1;;1;1;2;1;4;3;4;4;3;G. NAR;3;5;1992;2
73;3;1;3;3;3;1;2;1;3;1;3;2;2;3;1;2;2;3;3;1;1;2;3;1;2;1;2;2;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;2;2;1;2;2;2;1;2;1;;2;1;5;4;2;PODATKI;3;3;1992;1
74;1;3;1;1;3;1;1;2;2;1;1;1;1;3;2;1;3;2;1;3;1;3;1;1;2;1;1;1;1;1;2;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;1;2;1;4;3;6;3;POLIT;2;2;1985;1
75;1;2;2;1;2;2;2;1;2;3;3;2;1;1;1;2;1;1;1;3;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;1;1;1;2;1;10;1;1;6;1;2;POLIT;3;1;1976;2
76;1;2;1;1;2;1;1;1;1;1;1;2;1;2;2;2;2;1;2;1;1;1;1;2;1;;1;1;2;2;2;;1;1;1;;;;1;2;1;2;2;1;1;2;1;;1;;2;1;2;4;3;2;5;5;1;MST;3;5;1994;2
77;2;2;2;2;2;1;2;1;1;1;1;2;3;2;1;2;2;1;2;1;2;1;1;1;1;;1;1;1;2;1;;2;;1;;;;1;2;;1;1;1;;;1;;1;2;;1;2;3;3;3;5;5;1;MST;3;5;1995;1
78;1;2;2;2;2;3;1;1;1;2;1;2;2;2;1;2;2;1;2;2;2;1;1;1;1;;1;;1;;2;;;1;;;;;1;2;;;1;1;1;;;;;2;;1;;4;3;3;5;4;1;MST;3;5;1995;1
79;2;1;2;2;1;2;1;2;1;1;1;2;2;2;1;1;2;2;2;1;1;1;2;1;2;1;2;1;1;1;2;1;2;1;1;2;2;2;2;1;2;1;2;1;1;2;1;2;1;1;1;1;2;5;3;3;5;4;2;MST;3;4;1996;1
80;1;2;1;1;2;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;2;1;1;1;1;1;2;2;2;2;2;1;2;2;1;1;2;1;1;2;1;1;1;1;1;2;1;1;1;2;1;;2;5;2;2;5;5;2;MST;2;5;1988;2
81;2;2;1;2;3;1;1;1;1;2;1;2;2;2;2;3;2;2;3;3;3;3;2;2;2;1;1;1;1;1;1;2;1;2;2;1;2;1;2;2;1;1;1;1;2;1;2;1;1;1;2;1;1;5;3;3;4;5;2;MST;3;5;1995;1
